surface_form,entry_type,pinyin,tone,definition,radical,stroke_count,hsk_level,frequency_rank,note
귀국,word,gwiguk,,Returning to one’s home country,,,B,5725,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4490; source_complexity=B; pos=명; classification=noun; hanja_ref=歸國; senses=1
그간,word,geugan,,The while or during tha time,,,C,5726,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4491; source_complexity=C; pos=명; classification=noun; hanja_ref=-間; senses=1
그럴듯하다,word,geureoldeushada,,Be plausible or specious or likely,,,C,5727,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4492; source_complexity=C; pos=형; classification=adjective; senses=1
극작가,word,geukjakga,,A dramatist,,,C,5728,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4493; source_complexity=C; pos=명; classification=noun; hanja_ref=劇作家; senses=1
기23,word,gi23,,A flag or a banner,,,C,5730,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4494; source_complexity=C; pos=명; classification=noun; hanja_ref=旗; senses=1
기울다,word,giulda,,To tilt or lean,,,C,5732,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4495; source_complexity=C; pos=동; classification=verb; senses=1
기적,word,gijeok,,A miracle,,,C,5733,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4496; source_complexity=C; pos=명; classification=noun; hanja_ref=奇跡; senses=1
끌리다,word,kkeullida,,To be drawn or pulled or dragged,,,C,5736,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4497; source_complexity=C; pos=동; classification=verb; senses=1
내보내다,word,naebonaeda,,"Let out, let go out",,,C,5737,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4498; source_complexity=C; pos=동; classification=verb; senses=1
담,word,dam,,"A wall, fence",,,C,5739,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4499; source_complexity=C; pos=명; classification=noun; hanja_ref=~을쌓다; senses=1
동서,word,dongseo,,east and west,,,C,5742,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4500; source_complexity=C; pos=명; classification=noun; hanja_ref=東西; senses=1
들여놓다,word,deuryeonohda,,"bring in, invite someone in",,,C,5743,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4501; source_complexity=C; pos=동; classification=verb; senses=1
따스하다,word,ttaseuhada,,Feel warm,,,C,5744,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4502; source_complexity=C; pos=형; classification=adjective; senses=1
말투,word,maltu,,One’s way of talking,,,C,5746,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4503; source_complexity=C; pos=명; classification=noun; hanja_ref=-套; senses=1
명령어,word,myeongryeongeo,,Directive,,,C,5748,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4504; source_complexity=C; pos=명; classification=noun; hanja_ref=命令語; senses=1
목욕탕,word,mogyoktang,,A bathhouse,,,B,5749,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4505; source_complexity=B; pos=명; classification=noun; hanja_ref=沐浴湯; senses=1
미끄러지다,word,mikkeureojida,,Slippery,,,C,5753,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4506; source_complexity=C; pos=동; classification=verb; senses=1
바닷물,word,badasmul,,Sea water,,,B,5754,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4507; source_complexity=B; pos=명; classification=noun; senses=1
변신,word,byeonsin,,"Disguise, transformation",,,C,5755,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4508; source_complexity=C; pos=명; classification=noun; hanja_ref=變身; senses=1
부친,word,buchin,,A father,,,C,5757,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4509; source_complexity=C; pos=명; classification=noun; hanja_ref=父親; senses=1
붙잡히다,word,butjaphida,,Be caught,,,C,5759,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4510; source_complexity=C; pos=동; classification=verb; senses=1
브랜드,word,beuraendeu,,Brand,,,C,5760,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4511; source_complexity=C; pos=명; classification=noun; hanja_ref=brand; senses=1
사무,word,samu,,Office work,,,B,5762,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4513; source_complexity=B; pos=명; classification=noun; hanja_ref=事務; senses=1
사소하다,word,sasohada,,"Be trifling,insignificant",,,C,5763,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4514; source_complexity=C; pos=형; classification=adjective; hanja_ref=些少-; senses=1
상쾌하다,word,sangkwaehada,,"Be refreshing,exhilirating",,,C,5767,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4516; source_complexity=C; pos=형; classification=adjective; hanja_ref=爽快-; senses=1
손길,word,songil,,An outstretched hand,,,C,5771,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4518; source_complexity=C; pos=명; classification=noun; senses=1
순위,word,sunwi,,"order,ranking",,,C,5774,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4519; source_complexity=C; pos=명; classification=noun; hanja_ref=順位; senses=1
식사하다,word,siksahada,,To eat a meal,,,A,5777,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4520; source_complexity=A; pos=동; classification=verb; hanja_ref=食事-; senses=1
쌍,word,ssang,,"A pair,couple",,,C,5778,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4521; source_complexity=C; pos=명; classification=noun; hanja_ref=雙; senses=1
썰렁하다,word,sseolleonghada,,"chilly,feel cold",,,C,5779,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4522; source_complexity=C; pos=형; classification=adjective; senses=1
암시,word,amsi,,"A hint, suggestion",,,C,5783,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4523; source_complexity=C; pos=명; classification=noun; hanja_ref=暗示; senses=1
앞날,word,apnal,,"The futre, the days ahead",,,C,5784,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4524; source_complexity=C; pos=명; classification=noun; senses=1
역사상,word,yeoksasang,,"being in history, existing historically",,,C,5787,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4525; source_complexity=C; pos=명; classification=noun; hanja_ref=歷史上; senses=1
연주,word,yeonju,,A musical performance,,,C,5788,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4526; source_complexity=C; pos=명; classification=noun; hanja_ref=演奏; senses=1
우울하다,word,uulhada,,"To be melancholy, gloomy",,,B,5790,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4527; source_complexity=B; pos=형; classification=adjective; hanja_ref=憂鬱-; senses=1
우체국,word,ucheguk,,A post office,,,A,5791,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4528; source_complexity=A; pos=명; classification=noun; hanja_ref=郵遞局; senses=1
육상,word,yuksang,,"On land, on the ground",,,C,5796,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4530; source_complexity=C; pos=명; classification=noun; hanja_ref=陸上; senses=1
음주,word,eumju,,Drinking (alcohol),,,C,5797,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4531; source_complexity=C; pos=명; classification=noun; hanja_ref=飮酒; senses=1
이별,word,ibyeol,,"Parting, separation; divorce",,,C,5798,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4532; source_complexity=C; pos=명; classification=noun; hanja_ref=離別; senses=1
인재,word,injae,,A man of ability,,,C,5800,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4533; source_complexity=C; pos=명; classification=noun; hanja_ref=人材; senses=1
인종,word,injong,,A human race,,,C,5801,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4534; source_complexity=C; pos=명; classification=noun; hanja_ref=人種; senses=1
일시적,word,ilsijeok,,Of a day,,,C,5802,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4535; source_complexity=C; pos=명; classification=noun; hanja_ref=一時的; senses=1
재밌다,word,jaemissda,,"interesting,fun",,,C,5804,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4536; source_complexity=C; pos=형; classification=adjective; hanja_ref=재미있다; senses=1
전문적,word,jeonmunjeok,,Of a specialist nature,,,C,5805,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4537; source_complexity=C; pos=명; classification=noun; hanja_ref=專門的; senses=1
젊음,word,jeolmeum,,Youth,,,C,5808,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4538; source_complexity=C; pos=명; classification=noun; senses=1
점잖다,word,jeomjanhda,,"To be dignified,well-bred",,,C,5809,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4539; source_complexity=C; pos=형; classification=adjective; senses=1
조개,word,jogae,,"shellfish,clam",,,C,5812,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4540; source_complexity=C; pos=명; classification=noun; hanja_ref=동물; senses=1
주무시다,word,jumusida,,To sleep (respectful word),,,B,5816,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4541; source_complexity=B; pos=동; classification=verb; senses=1
중계방송,word,junggyebangsong,,"A relay, a hookup",,,C,5819,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4542; source_complexity=C; pos=명; classification=noun; hanja_ref=中繼放送; senses=1
중독,word,jungdok,,Poison,,,C,5820,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4543; source_complexity=C; pos=명; classification=noun; hanja_ref=中毒; senses=1
지급,word,jigeup,,"supply,pay",,,C,5821,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4544; source_complexity=C; pos=명; classification=noun; hanja_ref=支給; senses=1
진실하다,word,jinsilhada,,"Be true, truthful",,,C,5822,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4545; source_complexity=C; pos=형; classification=adjective; hanja_ref=眞實-; senses=1
차창,word,chachang,,car/train window,,,C,5823,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4546; source_complexity=C; pos=명; classification=noun; hanja_ref=車窓; senses=1
초청하다,word,chocheonghada,,To invite,,,C,5826,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4547; source_complexity=C; pos=동; classification=verb; hanja_ref=招請-; senses=1
출발점,word,chulbaljeom,,The starting point of a trip,,,C,5827,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4548; source_complexity=C; pos=명; classification=noun; hanja_ref=出發點; senses=1
출판,word,chulpan,,"Publication, publishing",,,C,5828,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4549; source_complexity=C; pos=명; classification=noun; hanja_ref=出版; senses=1
출현하다,word,chulhyeonhada,,"Appearance, turning out",,,C,5829,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4550; source_complexity=C; pos=동; classification=verb; hanja_ref=出現-; senses=1
클럽,word,keulleop,,Club,,,C,5830,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4551; source_complexity=C; pos=명; classification=noun; hanja_ref=club; senses=1
키스,word,kiseu,,Kiss,,,C,5831,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4552; source_complexity=C; pos=명; classification=noun; hanja_ref=kiss; senses=1
탈출하다,word,talchulhada,,"To escape, get away from",,,C,5833,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4553; source_complexity=C; pos=동; classification=verb; hanja_ref=脫出-; senses=1
판사,word,pansa,,A judge,,,C,5836,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4554; source_complexity=C; pos=명; classification=noun; hanja_ref=判事; senses=1
허락,word,heorak,,"Consent, assent, approval",,,C,5839,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4555; source_complexity=C; pos=명; classification=noun; hanja_ref=許諾; senses=1
확신,word,hwaksin,,"Conviction, firm belief",,,C,5841,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4556; source_complexity=C; pos=명; classification=noun; hanja_ref=確信; senses=1
흐리다,word,heurida,,"Cloudy (weather); (air, water, material) to be unclear, impure, turbid, muddy",,,B,5845,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4557, 4934; source_complexity=B, C; pos=형, 동; classification=adjective, verb; hanja_ref=날이~, 물을~; senses=2"
걱정스럽다,word,geokjeongseureopda,,Anxious or uneasy,,,B,5850,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4558; source_complexity=B; pos=형; classification=adjective; senses=1
건설되다,word,geonseoldoeda,,To become constructed,,,C,5851,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4559; source_complexity=C; pos=동; classification=verb; hanja_ref=建設-; senses=1
고프다,word,gopeuda,,Hungry or famished,,,A,5860,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4561; source_complexity=A; pos=형; classification=adjective; senses=1
그제야,word,geujeya,,For the first time or not … until,,,C,5866,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4562; source_complexity=C; pos=부; classification=adverb; senses=1
금연,word,geumyeon,,Prohibition of smoking,,,B,5868,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4563; source_complexity=B; pos=명; classification=noun; hanja_ref=禁煙; senses=1
기성세대,word,giseongsedae,,Old people,,,C,5870,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4564; source_complexity=C; pos=명; classification=noun; hanja_ref=旣成世代; senses=1
기술하다,word,gisulhada,,To describe or give an account of,,,C,5871,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4565; source_complexity=C; pos=동; classification=verb; hanja_ref=記述-; senses=1
까치,word,kkachi,,Magpie,,,C,5872,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4566; source_complexity=C; pos=명; classification=noun; senses=1
꿈속,word,kkumsok,,In a dream,,,B,5873,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4567; source_complexity=B; pos=명; classification=noun; senses=1
나비,word,nabi,,Butterfly,,,B,5874,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4568; source_complexity=B; pos=명; classification=noun; senses=1
남북,word,nambuk,,North and south,,,C,5876,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4569; source_complexity=C; pos=명; classification=noun; hanja_ref=南北; senses=1
납득하다,word,napdeukhada,,"To convince, persuade oneself",,,C,5877,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4570; source_complexity=C; pos=동; classification=verb; hanja_ref=納得-; senses=1
대사관,word,daesagwan,,Embassy,,,A,5883,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4572; source_complexity=A; pos=명; classification=noun; hanja_ref=大使館; senses=1
독창적,word,dokchangjeok,,Original,,,C,5886,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4573; source_complexity=C; pos=명; classification=noun; hanja_ref=獨創的; senses=1
되풀이되다,word,doepuridoeda,,"be reiterated, be done over again",,,C,5887,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4574; source_complexity=C; pos=동; classification=verb; senses=1
떠나가다,word,tteonagada,,1. to go away; to leave; to depart,,,C,5889,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4575; source_complexity=C; pos=동; classification=verb; senses=1
떠들썩하다,word,tteodeulsseokhada,,"noisy, boisterous troubled, disturbed sensational, much discussed",,,C,5890,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4576; source_complexity=C; pos=형; classification=adjective; hanja_ref=떠들다; senses=1
뜻대로,word,tteusdaero,,"just as wished, at one's pleasure, as desired",,,C,5891,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4577; source_complexity=C; pos=부; classification=adverb; senses=1
레스토랑,word,reseutorang,,restaurant,,,B,5892,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4578; source_complexity=B; pos=명; classification=noun; hanja_ref=&프restaurant; senses=1
로봇,word,robos,,robot,,,C,5893,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4579; source_complexity=C; pos=명; classification=noun; hanja_ref=robot; senses=1
만점,word,manjeom,,Perfect score,,,C,5896,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4580; source_complexity=C; pos=명; classification=noun; hanja_ref=滿點; senses=1
매달,word,maedal,,Every month,,,C,5897,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4581; source_complexity=C; pos=부; classification=adverb; hanja_ref=每-; senses=1
모여들다,word,moyeodeulda,,"gather,flock",,,C,5899,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4582; source_complexity=C; pos=동; classification=verb; senses=1
묵다,word,mukda,,"to become old, to become antiquated; to stay (at a place), to lodge",,,C,5902,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4583, 5126; source_complexity=C; pos=동; classification=verb; hanja_ref=오래된상태, 머무르다; senses=2"
바깥쪽,word,bakkatjjok,,The outside,,,C,5904,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4584; source_complexity=C; pos=명; classification=noun; senses=1
배고프다,word,baegopeuda,,To be hungry,,,A,5905,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4585; source_complexity=A; pos=형; classification=adjective; senses=1
버섯,word,beoseos,,Mushroom,,,B,5906,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4586; source_complexity=B; pos=명; classification=noun; senses=1
보수,word,bosu,,"Conservation; restoration, maintenance, repair",,,C,5911,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4587, 4845; source_complexity=C; pos=명; classification=noun; hanja_ref=保守, 補修; senses=2"
보안,word,boan,,Preservation of the public peace,,,C,5912,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4588; source_complexity=C; pos=명; classification=noun; hanja_ref=保安; senses=1
비웃다,word,biusda,,"Laugh at, ridicule",,,C,5917,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4591; source_complexity=C; pos=동; classification=verb; senses=1
비키다,word,bikida,,Move aside,,,B,5918,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4592; source_complexity=B; pos=동; classification=verb; senses=1
사나이,word,sanai,,"A man, a male",,,C,5919,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4593; source_complexity=C; pos=명; classification=noun; senses=1
사모님,word,samonim,,Older more respected ajuma,,,B,5921,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4594; source_complexity=B; pos=명; classification=noun; hanja_ref=師母-; senses=1
삼,word,sam,,Three,,,A,5923,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4595; source_complexity=A; pos=수; classification=numeral; hanja_ref=三; senses=1
상징적,word,sangjingjeok,,"symbolic,emblematic",,,C,5925,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4596; source_complexity=C; pos=명; classification=noun; hanja_ref=象徵的; senses=1
색다르다,word,saekdareuda,,"Be different,novel",,,C,5926,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4597; source_complexity=C; pos=형; classification=adjective; hanja_ref=色-; senses=1
세미나,word,semina,,Seminar,,,C,5930,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4598; source_complexity=C; pos=명; classification=noun; hanja_ref=seminar; senses=1
세제,word,seje,,"detergent,cleaning material",,,C,5931,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4599; source_complexity=C; pos=명; classification=noun; hanja_ref=洗劑; senses=1
속삭이다,word,soksagida,,Whisper,,,C,5932,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4600; source_complexity=C; pos=동; classification=verb; senses=1
시일,word,siil,,"time,days",,,C,5935,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4601; source_complexity=C; pos=명; classification=noun; hanja_ref=時日; senses=1
시합,word,sihap,,"A contest,match",,,C,5936,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4602; source_complexity=C; pos=명; classification=noun; hanja_ref=試合; senses=1
신속하다,word,sinsokhada,,"Be quick,rapid,speedy",,,C,5939,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4603; source_complexity=C; pos=형; classification=adjective; hanja_ref=迅速-; senses=1
신제품,word,sinjepum,,A new product,,,C,5940,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4604; source_complexity=C; pos=명; classification=noun; hanja_ref=新製品; senses=1
신중하다,word,sinjunghada,,"To be prudent,cautious",,,C,5941,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4605; source_complexity=C; pos=형; classification=adjective; hanja_ref=愼重-; senses=1
썩,word,sseok,,"Very much,greatly",,,C,5944,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4606; source_complexity=C; pos=부; classification=adverb; senses=1
암컷,word,amkeos,,"A female,a she (opp. 수컷)",,,C,5946,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4607; source_complexity=C; pos=명; classification=noun; senses=1
여행하다,word,yeohaenghada,,To travel,,,A,5949,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4608; source_complexity=A; pos=동; classification=verb; hanja_ref=旅行-; senses=1
예고하다,word,yegohada,,"Warn, give advance notice",,,C,5952,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4609; source_complexity=C; pos=동; classification=verb; hanja_ref=豫告-; senses=1
위반하다,word,wibanhada,,To violate (the law),,,C,5953,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4610; source_complexity=C; pos=동; classification=verb; hanja_ref=違反-; senses=1
윗몸,word,wismom,,The upper body,,,C,5954,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4611; source_complexity=C; pos=명; classification=noun; senses=1
은은하다,word,euneunhada,,"To be distant,faint,indistinct",,,C,5956,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4612; source_complexity=C; pos=형; classification=adjective; hanja_ref=隱隱-; senses=1
이해관계,word,ihaegwangye,,Mutual understanding,,,C,5958,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4613; source_complexity=C; pos=명; classification=noun; hanja_ref=利害關係; senses=1
일대,word,ildae,,One great/large,,,C,5960,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4615; source_complexity=C; pos=관; classification=attributive; hanja_ref=一大; senses=1
입력,word,ipryeok,,Power input,,,C,5961,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4616; source_complexity=C; pos=명; classification=noun; hanja_ref=入力; senses=1
자연현상,word,jayeonhyeonsang,,Natural phenomena,,,C,5962,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4617; source_complexity=C; pos=명; classification=noun; hanja_ref=自然現象; senses=1
정류장,word,jeongryujang,,"stop,a station,bus-stop",,,A,5966,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4618; source_complexity=A; pos=명; classification=noun; hanja_ref=停留場; senses=1
정신없이,word,jeongsineopsi,,Feel distracted and scatter-brained,,,C,5968,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4619; source_complexity=C; pos=부; classification=adverb; hanja_ref=精神-; senses=1
정직하다,word,jeongjikhada,,"honesty,uprightness",,,C,5969,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4620; source_complexity=C; pos=형; classification=adjective; hanja_ref=正直-; senses=1
조정하다,word,jojeonghada,,"To regulate,adjust,coordinate",,,C,5971,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4621; source_complexity=C; pos=동; classification=verb; hanja_ref=調整-; senses=1
주름,word,jureum,,Wrinkles,,,C,5973,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4622; source_complexity=C; pos=명; classification=noun; senses=1
중요,word,jungyo,,"importance,consequence",,,B,5974,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4623; source_complexity=B; pos=명; classification=noun; hanja_ref=重要; senses=1
챔피언,word,chaempieon,,Champion,,,B,5978,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4624; source_complexity=B; pos=명; classification=noun; hanja_ref=champion; senses=1
최신,word,choesin,,"Newest, the latest",,,C,5981,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4625; source_complexity=C; pos=명; classification=noun; hanja_ref=最新; senses=1
축하,word,chukha,,"Congratulation, celebration",,,B,5982,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4626; source_complexity=B; pos=명; classification=noun; hanja_ref=祝賀; senses=1
취소,word,chwiso,,"Cancellation, anulment",,,B,5983,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4627; source_complexity=B; pos=명; classification=noun; hanja_ref=取消; senses=1
캐릭터,word,kaerikteo,,Character,,,C,5985,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4628; source_complexity=C; pos=명; classification=noun; hanja_ref=character; senses=1
커튼,word,keoteun,,Curtain,,,B,5987,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4629; source_complexity=B; pos=명; classification=noun; hanja_ref=curtain; senses=1
해롭다,word,haeropda,,"To be harmful, injurious",,,C,5995,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4631; source_complexity=C; pos=형; classification=adjective; hanja_ref=害-; senses=1
현관문,word,hyeongwanmun,,The front door,,,C,5998,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4632; source_complexity=C; pos=명; classification=noun; hanja_ref=玄關門; senses=1
활발해지다,word,hwalbalhaejida,,To become lively,,,C,6000,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4633; source_complexity=C; pos=동; classification=verb; hanja_ref=活潑-; senses=1
회복되다,word,hoebokdoeda,,To be recovered,,,C,6001,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4634; source_complexity=C; pos=동; classification=verb; hanja_ref=回復-; senses=1
희생하다,word,huisaenghada,,To sacrifice,,,C,6002,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4635; source_complexity=C; pos=동; classification=verb; hanja_ref=犧牲-; senses=1
가능해지다,word,ganeunghaejida,,To become possible,,,C,6003,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4636; source_complexity=C; pos=동; classification=verb; hanja_ref=可能-; senses=1
겨울철,word,gyeoulcheol,,The winter season,,,B,6009,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4637; source_complexity=B; pos=명; classification=noun; senses=1
고추장,word,gochujang,,Red pepper paste,,,B,6014,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4638; source_complexity=B; pos=명; classification=noun; hanja_ref=-醬; senses=1
